Rv0001	NP_214515.1
Rv0966c	NP_215481.2
Rv0967	NP_215482.1
Rv0968	NP_215483.1
Rv0969	NP_215484.3
Rv0970	NP_215485.1
Rv0971c	NP_215486.1
Rv0972c	NP_215487.1
Rv0973c	NP_215488.1
Rv0974c	NP_215489.1
Rv0975c	NP_215490.1
Rv0976c	NP_215491.1
Rv0977	YP_177773.1
Rv0978c	YP_177774.1
Rv0979c	NP_215494.2
Rv0979A	YP_177635.1
Rv0980c	YP_177775.1
Rv0981	NP_215496.2
Rv0982	NP_215497.1
Rv0983	NP_215498.1
Rv0984	NP_215499.1
Rv0985c	NP_215500.1
Rv0986	NP_215501.1
Rv0987	NP_215502.1
Rv0988	NP_215503.1
Rv0989c	NP_215504.1
Rv0990c	NP_215505.1
Rv0991c	NP_215506.1
Rv0992c	NP_215507.1
Rv0993	NP_215508.1
Rv0994	YP_177776.1
Rv0995	NP_215510.1
Rv0996	NP_215511.1
Rv0997a	YP_009030028.1
Rv0997	NP_215512.1
Rv0998	NP_215513.1
Rv0999	NP_215514.1
Rv1000c	YP_177777.1
Rv1001	NP_215517.1
Rv1002c	NP_215518.1
Rv1003	NP_215519.1
Rv1004c	NP_215520.1
Rv1005c	NP_215521.1
Rv1006	NP_215522.1
Rv1007c	NP_215523.1
Rv1008	NP_215524.1
Rv1009	NP_215525.1
Rv1010	NP_215526.1
Rv1011	NP_215527.1
Rv1012	NP_215528.1
Rv1013	NP_215529.1
Rv1014c	NP_215530.1
Rv1015c	NP_215531.1
Rv1016c	NP_215532.1
Rv1017c	NP_215533.1
Rv1018c	NP_215534.1
Rv1019	NP_215535.1
Rv1020	NP_215536.1
Rv1021	NP_215537.1
Rv1022	NP_215538.1
Rv1023	NP_215539.1
Rv1024	NP_215540.1
Rv1025	NP_215541.1
Rv1026	NP_215542.1
Rv1027c	NP_215543.1
Rv1028c	NP_215544.1
Rv1028A	YP_177636.1
Rv1029	NP_215545.1
Rv1030	NP_215546.1
Rv1031	NP_215547.1
Rv1032c	NP_215548.1
Rv1033c	NP_215549.1
Rv1037c	NP_215553.1
Rv1038c	NP_215554.1
Rv1039c	YP_177778.1
Rv1040c	YP_177779.1
Rv1041c	NP_215557.1
Rv1042c	NP_215558.1
Rv1043c	NP_215559.1
Rv1044	NP_215560.1
Rv1045	NP_215561.1
Rv1047	NP_215563.1
Rv1048c	NP_215564.1
Rv1049	NP_215565.1
Rv1050	NP_215566.1
Rv1051c	NP_215567.1
Rv1052	NP_215568.1
Rv1056	NP_215572.1
Rv1057	NP_215573.1
Rv1058	NP_215574.1
Rv1059	NP_215575.1
Rv1060	NP_215576.1
Rv1061	NP_215577.1
Rv1062	NP_215578.1
Rv1063c	NP_215579.1
Rv1064c	NP_215580.1
Rv1065	NP_215581.1
Rv1066	NP_215582.1
Rv1067c	YP_177780.1
Rv1068c	YP_177781.1
Rv1069c	NP_215585.1
Rv1070c	NP_215586.1
Rv1071c	NP_215587.1
Rv1072	NP_215588.1
Rv1073	NP_215589.1
Rv1074c	NP_215590.1
Rv1075c	NP_215591.1
Rv1076	NP_215592.1
Rv1077	YP_177782.1
Rv1078	NP_215594.1
Rv1079	NP_215595.1
Rv1080c	NP_215596.1
Rv1081c	NP_215597.1
Rv1082	NP_215598.1
Rv1083	NP_215599.1
Rv1084	NP_215600.1
Rv1085c	NP_215601.1
Rv1086	NP_215602.1
Rv1087	YP_177783.1
Rv1088	YP_177784.1
Rv1088a	YP_009030029.1
Rv1091	YP_177786.1
Rv1092c	NP_215608.1
Rv1093	YP_177787.3
Rv1094	NP_215610.1
Rv1095	NP_215611.1
Rv1096	NP_215612.1
Rv1097c	NP_215613.1
Rv1098c	NP_215614.1
Rv1099c	NP_215615.3
Rv1100	NP_215616.1
Rv1101c	NP_215617.1
Rv1102c	NP_215618.1
Rv1103c	NP_215619.1
Rv1106c	NP_215622.1
Rv1107c	NP_215623.1
Rv1108c	NP_215624.1
Rv1109c	NP_215625.1
Rv1110	YP_177788.1
Rv1111c	NP_215627.2
Rv1112	NP_215628.1
Rv1113	NP_215629.1
Rv1114	NP_215630.1
Rv1115	NP_215631.1
Rv1116	NP_215632.1
Rv1117	NP_215633.1
Rv1118c	NP_215634.1
Rv1119c	NP_215635.1
Rv1120c	NP_215636.1
Rv1121	YP_177789.1
Rv1122	NP_215638.1
Rv1123c	NP_215639.1
Rv1124	NP_215640.1
Rv1125	NP_215641.1
Rv1126c	NP_215642.1
Rv1127c	NP_215643.1
Rv1128c	NP_215644.1
Rv1129c	NP_215645.1
Rv1130	NP_215646.1
Rv1131	NP_215647.1
Rv1132	NP_215648.1
Rv1133c	NP_215649.1
Rv1134	NP_215650.1
Rv1135c	YP_177790.1
Rv1138a	YP_009030030.1
Rv1138c	NP_215654.1
Rv1139c	NP_215655.1
Rv1140	NP_215656.1
Rv1141c	NP_215657.1
Rv1142c	NP_215658.1
Rv1143	NP_215659.1
Rv1144	NP_215660.1
Rv1145	NP_215661.1
Rv1146	NP_215662.1
Rv1147	NP_215663.1
Rv1148c	NP_215664.1
Rv1149	NP_215665.1
Rv1151c	NP_215667.1
Rv1152	NP_215668.1
Rv1153c	NP_215669.1
Rv1154c	NP_215670.1
Rv1155	NP_215671.1
Rv1155a	YP_009030031.1
Rv1156	NP_215672.1
Rv1157c	NP_215673.1
Rv1158c	NP_215674.1
Rv1159	NP_215675.1
Rv1159A	YP_177641.1
Rv1160	NP_215676.1
Rv1161	NP_215677.1
Rv1162	NP_215678.1
Rv1163	NP_215679.1
Rv1164	NP_215680.1
Rv1165	NP_215681.1
Rv1166	NP_215682.1
Rv1167c	NP_215683.1
Rv1168c	YP_177791.1
Rv1169c	YP_177792.1
Rv1170	NP_215686.1
Rv1171	NP_215687.2
Rv1172c	YP_177793.1
Rv1173	NP_215689.1
Rv1174c	NP_215690.1
Rv1175c	NP_215691.1
Rv1176c	NP_215692.1
Rv1177	NP_215693.1
Rv1178	NP_215694.1
Rv1179c	NP_215695.1
Rv1180	NP_215696.1
Rv1181	NP_215697.1
Rv1182	NP_215698.1
Rv1183	NP_215699.1
Rv1184c	NP_215700.1
Rv1185c	NP_215701.1
Rv1186c	NP_215702.1
Rv1187	NP_215703.1
Rv1188	NP_215704.1
Rv1189	NP_215705.1
Rv1190	NP_215706.1
Rv1191	NP_215707.1
Rv1192	NP_215708.1
Rv1193	NP_215709.1
Rv1194c	NP_215710.1
Rv1195	YP_177794.1
Rv1196	YP_177795.1
Rv1197	NP_215713.1
Rv1198	NP_215714.1
Rv1199c	NP_215715.1
Rv1200	NP_215716.1
Rv1201c	NP_215717.1
Rv1202	YP_177796.1
Rv1203c	NP_215719.1
Rv1204c	NP_215720.1
Rv1205	NP_215721.1
Rv1206	NP_215722.1
Rv1207	NP_215723.1
Rv1208	NP_215724.1
Rv1209	NP_215725.1
Rv1210	NP_215726.1
Rv1211	NP_215727.1
Rv1212c	NP_215728.1
Rv1213	NP_215729.1
Rv1214c	YP_177797.1
Rv1215c	NP_215731.1
Rv1216c	NP_215732.1
Rv1217c	NP_215733.1
Rv1218c	NP_215734.1
Rv1219c	NP_215735.1
Rv1220c	NP_215736.1
Rv1221	NP_215737.1
Rv1222	NP_215738.1
Rv1223	NP_215739.2
Rv1224	NP_215740.1
Rv1225c	NP_215741.1
Rv1226c	NP_215742.1
Rv1227c	NP_215743.1
Rv1228	NP_215744.1
Rv1228a	YP_009030032.1
Rv1229c	NP_215745.1
Rv1230c	NP_215746.1
Rv1231c	NP_215747.1
Rv1232c	NP_215748.1
Rv1233c	NP_215749.1
Rv1234	NP_215750.1
Rv1235	NP_215751.1
Rv1236	NP_215752.1
Rv1237	NP_215753.1
Rv1238	NP_215754.1
Rv1239c	NP_215755.1
Rv1240	NP_215756.1
Rv1241	NP_215757.1
Rv1242	NP_215758.1
Rv1243c	YP_177798.1
Rv1244	NP_215760.1
Rv1245c	NP_215761.1
Rv1246c	NP_215762.1
Rv1247c	NP_215763.1
Rv1248c	NP_215764.2
Rv1249c	NP_215765.1
Rv1250	NP_215766.1
Rv1251c	NP_215767.1
Rv1252c	NP_215768.1
Rv1253	NP_215769.1
Rv1254	NP_215770.1
Rv1255c	NP_215771.1
Rv1256c	NP_215772.1
Rv1257c	NP_215773.1
Rv1258c	NP_215774.1
Rv1259	NP_215775.1
Rv1260	NP_215776.1
Rv1261c	NP_215777.1
Rv1262c	NP_215778.1
Rv1263	NP_215779.1
Rv1264	NP_215780.1
Rv1265	NP_215781.1
Rv1266c	NP_215782.1
Rv1267c	NP_215783.1
Rv1268c	NP_215784.1
Rv1269c	NP_215785.1
Rv1270c	NP_215786.1
Rv1271c	NP_215787.1
Rv1272c	NP_215788.1
Rv1273c	NP_215789.1
Rv1274	NP_215790.1
Rv1275	NP_215791.1
Rv1276c	NP_215792.1
Rv1277	NP_215793.1
Rv1278	NP_215794.1
Rv1279	NP_215795.1
Rv1280c	NP_215796.1
Rv1281c	NP_215797.1
Rv1282c	NP_215798.1
Rv1283c	NP_215799.1
Rv1284	NP_215800.1
Rv1285	NP_215801.1
Rv1286	NP_215802.1
Rv1287	NP_215803.1
Rv1288	NP_215804.1
Rv1289	NP_215805.1
Rv1290c	NP_215806.1
Rv1290A	YP_177642.1
Rv1291c	NP_215807.1
Rv1292	NP_215808.1
Rv1293	NP_215809.1
Rv1294	NP_215810.1
Rv1295	NP_215811.1
Rv1296	NP_215812.1
Rv1297	NP_215813.1
Rv1298	NP_215814.1
Rv1299	NP_215815.1
Rv1300	NP_215816.1
Rv1301	NP_215817.1
Rv1302	NP_215818.1
Rv1303	NP_215819.1
Rv1304	NP_215820.1
Rv1305	NP_215821.1
Rv1306	NP_215822.1
Rv1307	NP_215823.1
Rv1308	NP_215824.1
Rv1309	NP_215825.1
Rv1310	NP_215826.1
Rv1311	NP_215827.1
Rv1312	NP_215828.1
Rv1313c	NP_215829.1
Rv1314c	NP_215830.1
Rv1315	NP_215831.1
Rv1316c	NP_215832.1
Rv1317c	NP_215833.1
Rv1318c	NP_215834.1
Rv1319c	NP_215835.1
Rv1320c	NP_215836.1
Rv1321	NP_215837.1
Rv1322	NP_215838.1
Rv1322A	YP_177643.1
Rv1323	NP_215839.1
Rv1324	NP_215840.1
Rv1325c	YP_177799.1
Rv1326c	NP_215842.1
Rv1327c	NP_215843.2
Rv1328	NP_215844.1
Rv1329c	NP_215845.1
Rv1330c	NP_215846.2
Rv1331	NP_215847.1
Rv1332	NP_215848.1
Rv1333	NP_215849.1
Rv1334	NP_215850.1
Rv1335	NP_215851.1
Rv1336	NP_215852.1
Rv1337	NP_215853.1
Rv1338	NP_215854.1
Rv1339	NP_215855.1
Rv1340	NP_215856.1
Rv1341	NP_215857.1
Rv1342c	YP_177800.1
Rv1343c	NP_215859.1
Rv1344	NP_215860.1
Rv1345	NP_215861.1
Rv1346	NP_215862.1
Rv1347c	NP_215863.1
Rv1348	NP_215864.1
Rv1349	NP_215865.1
Rv1350	NP_215866.1
Rv1351	NP_215867.1
Rv1352	NP_215868.1
Rv1353c	NP_215869.1
Rv1354c	NP_215870.1
Rv1355c	NP_215871.1
Rv1356c	NP_215872.1
Rv1357c	NP_215873.1
Rv1358	NP_215874.1
Rv1359	NP_215875.1
Rv1360	NP_215876.1
Rv1361c	YP_177801.1
Rv1362c	NP_215878.1
Rv1363c	NP_215879.1
Rv1364c	YP_177802.1
Rv1365c	NP_215881.1
Rv1366	NP_215882.1
Rv1366A	YP_004837053.2
Rv1367c	NP_215883.1
Rv1368	NP_215884.1
Rv1371	NP_215887.1
Rv1372	YP_177803.1
Rv1373	NP_215889.1
Rv1374c	NP_215890.2
Rv1375	NP_215891.1
Rv1376	NP_215892.1
Rv1377c	NP_215893.1
Rv1378c	NP_215894.1
Rv1379	NP_215895.1
Rv1380	NP_215896.1
Rv1381	NP_215897.1
Rv1382	NP_215898.1
Rv1383	NP_215899.1
Rv1384	YP_177804.1
Rv1385	NP_215901.1
Rv1386	YP_177805.1
Rv1387	YP_177806.1
Rv1388	NP_215904.1
Rv1389	NP_215905.1
Rv1390	NP_215906.1
Rv1391	NP_215907.1
Rv1392	NP_215908.1
Rv1393c	NP_215909.1
Rv1394c	YP_177807.1
Rv1395	YP_177808.1
Rv1396c	YP_177809.1
Rv1397c	NP_215913.1
Rv1398c	NP_215914.1
Rv1399c	NP_215915.1
Rv1400c	NP_215916.1
Rv1401	NP_215917.1
Rv1402	NP_215918.1
Rv1403c	NP_215919.1
Rv1404	NP_215920.1
Rv1405c	NP_215921.1
Rv1406	NP_215922.1
Rv1407	NP_215923.1
Rv1408	NP_215924.1
Rv1409	NP_215925.1
Rv1410c	NP_215926.1
Rv1411c	NP_215927.1
Rv1412	NP_215928.1
Rv1413	NP_215929.1
Rv1414	NP_215930.1
Rv1415	NP_215931.1
Rv1416	NP_215932.2
Rv1417	NP_215933.1
Rv1418	NP_215934.1
Rv1419	NP_215935.1
Rv1420	NP_215936.1
Rv1421	NP_215937.1
Rv1422	NP_215938.1
Rv1423	NP_215939.1
Rv1424c	NP_215940.1
Rv1425	NP_215941.1
Rv1426c	NP_215942.1
Rv1427c	NP_215943.1
Rv1428c	NP_215944.1
Rv1429	NP_215945.1
Rv1430	YP_177810.1
Rv1431	NP_215947.1
Rv1432	NP_215948.1
Rv1433	NP_215949.1
Rv1434	NP_215950.1
Rv1435c	NP_215951.1
Rv1436	NP_215952.1
Rv1437	NP_215953.1
Rv1438	NP_215954.1
Rv1439c	NP_215955.1
Rv1440	NP_215956.2
Rv1441c	YP_177811.1
Rv1442	NP_215958.1
Rv1443c	NP_215959.1
Rv1444c	NP_215960.1
Rv1445c	NP_215961.1
Rv1446c	NP_215962.1
Rv1447c	NP_215963.1
Rv1448c	NP_215964.1
Rv1449c	NP_215965.1
Rv1450c	YP_177812.1
Rv1451	NP_215967.1
Rv1452c	YP_177813.1
Rv1453	NP_215969.2
Rv1454c	NP_215970.1
Rv1455	NP_215971.1
Rv1456c	NP_215972.1
Rv1457c	NP_215973.1
Rv1458c	NP_215974.1
Rv1459c	NP_215975.1
Rv1460	NP_215976.2
Rv1461	NP_215977.1
Rv1462	NP_215978.1
Rv1463	NP_215979.1
Rv1464	NP_215980.1
Rv1465	NP_215981.1
Rv1466	NP_215982.1
Rv1467c	NP_215983.1
Rv1468c	YP_177814.1
Rv1469	NP_215985.1
Rv1470	NP_215986.1
Rv1471	YP_177815.1
Rv1472	NP_215988.1
Rv1473	NP_215989.1
Rv1473A	YP_177644.1
Rv1474c	NP_215990.1
Rv1475c	NP_215991.1
Rv1476	NP_215992.1
Rv1477	NP_215993.1
Rv1478	NP_215994.1
Rv1479	YP_177816.1
Rv1480	NP_215996.1
Rv1481	NP_215997.1
Rv1482c	NP_215998.2
Rv1483	NP_215999.1
Rv1484	NP_216000.1
Rv1485	NP_216001.1
Rv1486c	NP_216002.2
Rv1487	NP_216003.1
Rv1488	NP_216004.1
Rv1489	YP_177645.1
Rv1489A	YP_177646.1
Rv1490	NP_216006.1
Rv1491c	NP_216007.1
Rv1492	NP_216008.1
Rv1493	NP_216009.1
Rv1494	NP_216010.1
Rv1495	NP_216011.1
Rv1496	NP_216012.1
Rv1497	NP_216013.1
Rv1498c	NP_216014.1
Rv1498A	YP_177647.1
Rv1499	NP_216015.2
Rv1500	NP_216016.1
Rv1501	NP_216017.1
Rv1502	NP_216018.1
Rv1505c	NP_216021.1
Rv1506c	NP_216022.1
Rv1507c	NP_216023.1
Rv1507A	YP_177648.1
Rv1508c	NP_216024.1
Rv1508A	YP_177649.1
Rv1509	NP_216025.1
Rv1510	NP_216026.1
Rv1511	NP_216027.1
Rv1512	NP_216028.1
Rv1513	NP_216029.1
Rv1514c	NP_216030.1
Rv1515c	NP_216031.1
Rv1516c	NP_216032.2
Rv1517	NP_216033.1
Rv1518	NP_216034.1
Rv1519	NP_216035.1
Rv1520	NP_216036.3
Rv1521	NP_216037.1
Rv1522c	NP_216038.1
Rv1523	NP_216039.1
Rv1524	NP_216040.1
Rv1525	NP_216041.1
Rv1526c	NP_216042.1
Rv1527c	NP_216043.1
Rv1528c	NP_216044.1
Rv1529	NP_216045.1
Rv1530	NP_216046.1
Rv1531	NP_216047.1
Rv1532c	NP_216048.1
Rv1533	NP_216049.1
Rv1534	NP_216050.1
Rv1535	NP_216051.1
Rv1536	NP_216052.1
Rv1537	NP_216053.3
Rv1538c	NP_216054.1
Rv1539	NP_216055.1
Rv1540	NP_216056.1
Rv1541c	NP_216057.1
Rv1542c	NP_216058.1
Rv1543	NP_216059.1
Rv1544	NP_216060.1
Rv1545	NP_216061.1
Rv1546	NP_216062.1
Rv1547	NP_216063.1
Rv1548c	YP_177817.1
Rv1550	NP_216066.1
Rv1551	NP_216067.1
Rv1552	NP_216068.1
Rv1553	NP_216069.1
Rv1554	NP_216070.1
Rv1555	NP_216071.1
Rv1556	NP_216072.1
Rv1557	NP_216073.1
Rv1558	NP_216074.1
Rv1559	NP_216075.1
Rv1560	NP_216076.1
Rv1561	NP_216077.1
Rv1562c	YP_177819.1
Rv1563c	YP_177820.1
Rv1564c	YP_177821.1
Rv1565c	NP_216081.1
Rv1566c	NP_216082.1
Rv1567c	NP_216083.1
Rv1568	NP_216084.1
Rv1569	YP_177822.1
Rv1570	NP_216086.1
Rv1571	NP_216087.1
Rv1573	NP_216089.1
Rv1574	NP_216090.1
Rv1575	NP_216091.2
Rv1576c	NP_216092.1
Rv1577c	NP_216093.1
Rv1578c	NP_216094.1
Rv1579c	NP_216095.1
Rv1580c	NP_216096.1
Rv1581c	NP_216097.1
Rv1582c	NP_216098.1
Rv1583c	NP_216099.1
Rv1584c	NP_216100.1
Rv1585c	NP_216101.1
Rv1586c	NP_216102.1
Rv1587c	NP_216103.2
Rv1588c	NP_216104.1
Rv1589	NP_216105.1
Rv1590	NP_216106.1
Rv1591	NP_216107.1
Rv1592c	NP_216108.1
Rv1593c	NP_216109.1
Rv1594	NP_216110.1
Rv1595	NP_216111.1
Rv1596	NP_216112.1
Rv1597	NP_216113.1
Rv1598c	NP_216114.1
Rv1599	NP_216115.1
Rv1600	YP_177823.1
Rv1601	NP_216117.1
Rv1602	NP_216118.1
Rv1603	NP_216119.1
Rv1604	NP_216120.1
Rv1605	NP_216121.1
Rv1606	NP_216638.2
Rv1607	NP_216123.1
Rv1608c	NP_216124.1
Rv1609	NP_216125.1
Rv1610	NP_216126.1
Rv1611	NP_216127.1
Rv1612	NP_216128.1
Rv1613	NP_216129.1
Rv1614	NP_216130.1
Rv1615	NP_216131.1
Rv1616	NP_216132.1
Rv1617	NP_216133.1
Rv1618	NP_216134.1
Rv1619	NP_216135.1
Rv1620c	NP_216136.1
Rv1621c	NP_216137.1
Rv1622c	NP_216138.1
Rv1623c	YP_177824.1
Rv1624c	NP_216140.1
Rv1625c	NP_216141.2
Rv1626	NP_216142.1
Rv1627c	NP_216143.1
Rv1628c	NP_216144.1
Rv1629	NP_216145.1
Rv1630	NP_216146.1
Rv1631	NP_216147.1
Rv1632c	NP_216148.1
Rv1633	NP_216149.3
Rv1634	NP_216150.1
Rv1635c	NP_216151.1
Rv1636	NP_216152.1
Rv1637c	NP_216153.1
Rv1638	NP_216154.1
Rv1638A	YP_177650.1
Rv1639c	NP_216155.1
Rv1640c	NP_216156.1
Rv1641	NP_216157.1
Rv1642	NP_216158.1
Rv1643	NP_216159.1
Rv1644	NP_216160.1
Rv1645c	NP_216161.1
Rv1646	YP_177825.1
Rv1647	NP_216163.1
Rv1648	NP_216164.1
Rv1649	NP_216165.3
Rv1650	NP_216166.1
Rv1651c	YP_177826.1
Rv1652	NP_216168.1
Rv1653	NP_216169.1
Rv1654	NP_216170.1
Rv1655	NP_216171.1
Rv1656	NP_216172.1
Rv1657	NP_216173.1
Rv1658	NP_216174.1
Rv1659	NP_216175.1
Rv1660	NP_216176.1
Rv1661	NP_216177.1
Rv1662	NP_216178.1
Rv1663	NP_216179.1
Rv1664	NP_216180.1
Rv1665	NP_216181.1
Rv1666c	NP_216182.1
Rv1669	NP_216185.1
Rv1670	NP_216186.1
Rv1671	NP_216187.1
Rv1672c	NP_216188.1
Rv1673c	NP_216189.1
Rv1674c	NP_216190.1
Rv1675c	NP_216191.1
Rv1676	NP_216192.1
Rv1677	NP_216193.1
Rv1678	NP_216194.1
Rv1679	NP_216195.1
Rv1680	NP_216196.1
Rv1681	NP_216197.1
Rv1682	NP_216198.1
Rv1683	NP_216199.1
Rv1684	NP_216200.1
Rv1685c	NP_216201.1
Rv1686c	NP_216202.1
Rv1687c	NP_216203.1
Rv1688	NP_216204.1
Rv1689	NP_216205.1
Rv1690	NP_216206.1
Rv1691	NP_216207.1
Rv1692	NP_216208.1
Rv1693	NP_216209.1
Rv1694	NP_216210.1
Rv1695	NP_216211.1
Rv1696	NP_216212.1
Rv1697	NP_216213.1
Rv1698	NP_216214.1
Rv1699	NP_216215.1
Rv1700	NP_216216.1
Rv1701	NP_216217.1
Rv1702c	NP_216218.1
Rv1703c	NP_216219.4
Rv1704c	NP_216220.1
Rv1705c	YP_177827.1
Rv1706c	YP_177828.1
Rv1706A	YP_177651.1
Rv1707	NP_216223.1
Rv1708	NP_216224.1
Rv1709	NP_216225.1
Rv1710	NP_216226.1
Rv1711	NP_216227.1
Rv1712	NP_216228.1
Rv1713	NP_216229.1
Rv1714	NP_216230.1
Rv1715	YP_177829.1
Rv1716	NP_216232.1
Rv1717	NP_216233.1
Rv1718	NP_216234.1
Rv1719	NP_216235.1
Rv1720c	NP_216236.1
Rv1721c	NP_216237.2
Rv1722	NP_216238.1
Rv1723	NP_216239.1
Rv1724c	NP_216240.1
Rv1725c	NP_216241.1
Rv1726	NP_216242.1
Rv1727	NP_216243.1
Rv1728c	NP_216244.1
Rv1729c	NP_216245.1
Rv1730c	NP_216246.1
Rv1731	NP_214748.2
Rv1732c	NP_216248.1
Rv1733c	NP_216249.1
Rv1734c	NP_216250.1
Rv1735c	NP_216251.1
Rv1735a	YP_009030033.1
Rv1736c	NP_216252.1
Rv1737c	NP_216253.1
Rv1738	NP_216254.1
Rv1739c	NP_216255.1
Rv1740	NP_216256.1
Rv1741	NP_216257.1
Rv1742	NP_216258.1
Rv1743	NP_216259.1
Rv1744c	NP_216260.1
Rv1745c	NP_216261.1
Rv1746	NP_216262.1
Rv1747	NP_216263.1
Rv1748	NP_216264.1
Rv1749c	NP_216265.1
Rv1750c	NP_216266.1
Rv1751	NP_216267.1
Rv1752	NP_216268.1
Rv1753c	YP_177830.1
Rv1754c	NP_216270.1
Rv1758	NP_216274.1
Rv1759c	YP_177831.1
Rv1760	NP_216276.1
Rv1761c	NP_216277.1
Rv1762c	NP_216278.1
Rv1765c	NP_216281.1
Rv1766	NP_216282.2
Rv1767	NP_216283.1
Rv1768	YP_177832.1
Rv1769	NP_216285.1
Rv1770	NP_216286.1
Rv1771	NP_216287.1
Rv1772	NP_216288.1
Rv1773c	NP_216289.1
Rv1774	NP_216290.1
Rv1775	NP_216291.1
Rv1776c	NP_216292.1
Rv1777	NP_216293.1
Rv1778c	NP_216294.1
Rv1779c	NP_216295.1
Rv1780	NP_216296.1
Rv1781c	NP_216297.1
Rv1782	NP_216298.1
Rv1783	YP_007410461.1
Rv1785c	NP_216301.1
Rv1786	NP_216302.1
Rv1787	YP_177833.1
Rv1788	YP_177834.1
Rv1789	YP_177835.1
Rv1790	YP_177836.1
Rv1791	YP_177837.1
Rv1793	YP_177838.1
Rv1794	NP_216310.1
Rv1795	NP_216311.1
Rv1796	NP_216312.1
Rv1797	NP_216313.1
Rv1798	NP_216314.1
Rv1799	NP_216315.1
Rv1800	YP_177839.1
Rv1801	YP_177840.1
Rv1802	YP_177841.1
Rv1803c	YP_177842.1
Rv1804c	NP_216320.1
Rv1805c	NP_216321.1
Rv1806	YP_177843.1
Rv1808	YP_177844.1
Rv1809	YP_177845.1
Rv1810	NP_216326.1
Rv1811	NP_216327.1
Rv1812c	NP_216328.1
Rv1813c	NP_216329.1
Rv1814	NP_216330.1
Rv1815	NP_216331.1
Rv1816	NP_216332.1
Rv1817	NP_216333.1
Rv1818c	YP_177846.1
Rv1819c	NP_216335.1
Rv1820	NP_216336.1
Rv1821	NP_216337.1
Rv1822	NP_216338.1
Rv1823	NP_216339.1
Rv1824	NP_216340.1
Rv1825	NP_216341.1
Rv1826	NP_216342.1
Rv1827	NP_216343.1
Rv1828	NP_216344.1
Rv1829	NP_216345.1
Rv1830	NP_216346.1
Rv1831	NP_216347.1
Rv1832	NP_216348.1
Rv1833c	NP_216349.1
Rv1834	NP_216350.1
Rv1835c	NP_216351.1
Rv1836c	NP_216352.1
Rv1837c	NP_216353.1
Rv1838c	NP_216354.1
Rv1839c	NP_216355.1
Rv1840c	YP_177847.1
Rv1841c	NP_216357.1
Rv1842c	NP_216358.1
Rv1843c	NP_216359.1
Rv1844c	YP_177848.1
Rv1845c	NP_216361.1
Rv1846c	NP_216362.1
Rv1847	NP_216363.1
Rv1848	NP_216364.1
Rv1849	NP_216365.1
Rv1850	NP_216366.1
Rv1851	NP_216367.1
Rv1852	NP_216368.1
Rv1853	NP_216369.1
Rv1854c	NP_216370.1
Rv1855c	NP_216371.1
Rv1856c	NP_216372.1
Rv1857	NP_216373.1
Rv1858	NP_216374.1
Rv1859	NP_216375.1
Rv1860	YP_177849.1
Rv1861	NP_216377.1
Rv1862	NP_216378.1
Rv1863c	NP_216379.1
Rv1864c	NP_216380.1
Rv1865c	NP_216381.1
Rv1866	NP_216382.3
Rv1867	NP_216383.1
Rv1868	NP_216384.1
Rv1869c	NP_216385.1
Rv1870c	NP_216386.1
Rv1871c	NP_216387.1
Rv1872c	NP_216388.1
Rv1873	NP_216389.1
Rv1874	NP_216390.3
Rv1875	NP_216391.1
Rv1876	NP_216392.1
Rv1877	NP_216393.1
Rv1878	NP_216394.1
Rv1879	NP_216395.1
Rv1880c	NP_216396.3
Rv1881c	NP_216397.1
Rv1882c	NP_216398.1
Rv1883c	NP_216399.1
Rv1884c	NP_216400.1
Rv1885c	NP_216401.1
Rv1886c	NP_216402.1
Rv1887	NP_216403.1
Rv1890c	NP_216406.1
Rv1891	NP_216407.1
Rv1892	NP_216408.1
Rv1893	NP_216409.1
Rv1894c	NP_216410.1
Rv1895	NP_216411.1
Rv1896c	NP_216412.1
Rv1897c	NP_216413.1
Rv1898	NP_216414.1
Rv1899c	NP_216415.1
Rv1900c	NP_216416.1
Rv1901	NP_216417.1
Rv1902c	NP_216418.1
Rv1903	NP_216419.1
Rv1904	NP_216420.1
Rv1905c	NP_216421.1
Rv1906c	NP_216422.1
Rv1907c	NP_216423.1
Rv1908c	NP_216424.1
Rv1909c	NP_216425.2
Rv1910c	NP_216426.1
Rv1911c	NP_216427.1
Rv1912c	NP_216428.1
Rv1913	NP_216429.1
Rv1914c	NP_216430.1
Rv1915	NP_216431.1
Rv1916	NP_216432.1
Rv1917c	YP_177655.1
Rv1918c	YP_177850.1
Rv1919c	NP_216435.1
Rv1920	NP_216436.1
Rv1921c	NP_216437.1
Rv1922	NP_216438.1
Rv1923	NP_216439.1
Rv1924c	NP_216440.1
Rv1925	NP_216441.2
Rv1926c	NP_216442.1
Rv1927	NP_216443.1
Rv1928c	NP_216444.1
Rv1929c	NP_216445.1
Rv1930c	NP_216446.1
Rv1931c	NP_216447.1
Rv1932	NP_216448.1
Rv1933c	NP_216449.1
Rv1934c	NP_216450.1
Rv1935c	NP_216451.1
Rv1936	NP_216452.1
Rv1937	NP_216453.1
Rv1938	NP_216454.1
Rv1939	NP_216455.1
Rv1940	YP_177851.1
Rv1941	NP_216457.1
Rv1942c	NP_216458.1
Rv1943c	NP_216459.1
Rv1944c	NP_216460.1
Rv1945	NP_216461.1
Rv1946c	NP_216462.1
Rv1947	NP_216463.1
